LocalSeq,UnitStatement,SourceRef,ContentHash,InOutStatus,SectionID,DispatchUnitID,Corrects,Notes
1,"YAML front matter: doc_id OPS-SOFTWARE-DECOMP, doc_kind decomposition.software, revision 0.7, governed_by OPS-CONTRACT.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L1|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0002,3909871a49a6,OUT,SEC-EG001-0002,UNIT-EG001-0001,,Metadata block; not a technical claim.
151,"AB-00-05 (DEL-00-05): Separate durable project state from transient session, viewport, selection, and job-progress state; GUI mutations route through application-service commands; undo/redo is scoped to reversible model edits and preserves diagnostics.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L422|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,0fb5c65f30d6,IN,SEC-EG001-0030,UNIT-EG001-0001,,
152,"AB-00-06 (DEL-00-06): Diagnostics and result envelopes must carry code, class, severity, source, affected object, message, remediation, and provenance; warning classes include SOLVE_BLOCKING, RULE_CHECK_BLOCKING, PROVENANCE_WARNING, ASSUMPTION_WARNING, NONLINEAR_WARNING, IP_BOUNDARY_WARNING; outputs must not claim certification or compliance.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L423|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,11c6e6a5db61,IN,SEC-EG001-0030,UNIT-EG001-0001,,
153,"AB-00-07 (DEL-00-07): Maintain internal/public API boundaries; adapters validate units, provenance, redistribution, diagnostics, and public/private data boundaries; plugins/adapters cannot bypass validation, sandboxing, envelopes, or report controls; external transport protocol and concrete formats remain TBD.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L424|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,2d834d095acc,IN,SEC-EG001-0030,UNIT-EG001-0001,,
154,"AB-00-08 (DEL-00-08): Use layered tests across architecture, schemas, units, services, solver, load/stress behavior, rule packs, GUI, CLI, reports, adapters, packaging, security, and regressions; deterministic solver/rule verification and protected-content/provenance gates are required before release use.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L425|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0030,a46527473584,IN,SEC-EG001-0030,UNIT-EG001-0001,,
155,"Resolved baseline (Runtime/GUI) per SCA-001: Rust core/application services; Tauri 2 desktop shell; TypeScript/React/Vite GUI; Three.js viewport for 3D interaction. TBD: exact dependency versions, component/state libraries, platform release matrix.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L431|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0031,756587d76a41,IN,SEC-EG001-0031,UNIT-EG001-0001,,
156,"Resolved baseline (Schema/API) per SCA-001: JSON Schema 2020-12 for public schemas/interchange; schema-first command/query/job/result envelopes. TBD: public API transport protocol, code-generation tooling, exact schema file layout.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L432|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0031,a3abf5c68ca2,IN,SEC-EG001-0031,UNIT-EG001-0001,,
157,"Resolved baseline (Persistence/reproducibility) per SCA-001: versioned JSON-schema-governed persistence; canonical JSON with JCS-compatible hashing for JSON payloads; manifest hashes for non-JSON/binary assets; MVP local SQLite store/index with rebuildable FTS5/BM25 sidecars; path/URI-plus-hash references for large files by default. TBD: migration framework, DB migration details, binary asset/export packaging, portable export.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L433|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0031,6240270bd3d2,IN,SEC-EG001-0031,UNIT-EG001-0001,,
158,"Resolved baseline (Testing/acceptance) per SCA-001: Cargo tests, Vitest, Playwright, validation gates, protected-content/provenance gates, deterministic solver/rule verification gates. TBD: CI provider, coverage/performance thresholds, exact harness libraries.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L434|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0031,65fef5a724d2,IN,SEC-EG001-0031,UNIT-EG001-0001,,
159,"Resolved baseline (Solver/rule internals) per SCA-001: layer boundaries and deterministic diagnostics/result envelopes are binding. TBD: sparse/numerical solver library, rule-pack expression grammar/library, nonlinear algorithm tolerances.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L435|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0031,70f031d5ee1c,IN,SEC-EG001-0031,UNIT-EG001-0001,,
160,"Every future TASK brief for PKG-01 through PKG-12 must include the applicable AB-00-* rows, the resolved architecture baseline, and the remaining-TBD boundary, injecting applicable constraints rather than full PKG-00 prose.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L439|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0032,7fcbc974f2b7,IN,SEC-EG001-0032,UNIT-EG001-0001,,
161,"If a downstream deliverable must depart from an applicable architecture basis item, execution must stop and escalate to SCOPE_CHANGE or the human project authority; _SEMANTIC.md and _SEMANTIC_LENSING.md files are evidence aids, not independent engineering authority.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L441|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0032,bf5a4b33ddcf,IN,SEC-EG001-0032,UNIT-EG001-0001,,
162,The authoritative companion register is _Registers/ScopeLedger.csv.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L445|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0033,1665dffdafeb,OUT,SEC-EG001-0033,UNIT-EG001-0001,,Pointer to companion register; not a technical claim.
163,Scope ledger table (SOW-001..SOW-076) restates SSOW section 4 statements with added PackageID/DeliverableID/ObjectiveID mappings; duplicate scope statements captured in SSOW are not re-atomized to avoid dedup collisions.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L450|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0033,6e7031c74fd5,OUT,SEC-EG001-0033,UNIT-EG001-0001,,Near-duplicate of section 4 SSOW; mapping-only ledger rows.
164,"The scope ledger maps each scope item (SOW-001..SOW-076) to its PackageID(s), DeliverableID(s), and ObjectiveID(s), with all 76 scope items assigned and zero unmapped to deliverables or objectives.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L450|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0033,1a704bf68157,IN,SEC-EG001-0033,UNIT-EG001-0001,,
165,"Coverage telemetry: ScopeItemCount=76, PackageCount=18, DeliverableCount=101, ObjectiveCount=18, UnassignedScopeItems=0, ScopeItemsWithoutDeliverableMapping=0, UnmappedObjectives=0, ContextEnvelopeCounts S=9/M=70/L=22/XL=0, OpenIssues=17, Revision 0.7 (2026-05-18).",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L532|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0034,cbd106577a2d,IN,SEC-EG001-0034,UNIT-EG001-0001,,
166,"OI-001: License selection is TBD (permissive vs copyleft requires human decision). Related: SOW-001, SOW-048.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L548|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,7522f410599f,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
167,"OI-002: Implementation architecture baseline selected by SCA-001; exact dependency versions, solver numerical library, and platform-specific packaging details remain TBD. Related: SOW-032, SOW-036, SOW-056.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L549|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,b0fde4b9257b,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
168,"OI-003: Legal review is required for public component/material data policy before accepting community data. Related: SOW-003, SOW-019, SOW-028.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L550|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,c71cefee58bd,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
169,"OI-004: Supported import/export formats decomposed through PKG-17 (native JSON, CAEPIPE MBF, stress-neutral CSV/JSON, conservative PCF, GLB/glTF, adapter SDK); exact target field coverage remains deliverable-local TBD. Related: SOW-030, SOW-046, SOW-062, SOW-074.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L551|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,313565fcf78d,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
170,"OI-005: Numerical tolerances and performance targets are TBD pending solver prototype. Related: SOW-026, SOW-035, SOW-053.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L552|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,938910e2a017,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
171,"OI-006: Rule-pack evaluator must be sandboxed, unit-aware, and declarative; exact expression grammar/library remains TBD. Related: SOW-045.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L553|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,db4b23f296e6,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
172,"OI-007: Human approval workflow for project-specific calculation reports is TBD and outside solver authority. Related: SOW-034, SOW-047.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L554|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,f246adbb26ba,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
173,OI-008: Telemetry policy defaults to no telemetry; any telemetry design requires explicit human approval. Related: SOW-037.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L555|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,a7cd46dc92cc,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
174,OI-009: Dynamic analysis modules (modal/response-spectrum) are PRD Could/post-MVP items and are not decomposed for current execution. Related: PRD FR-024.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L556|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,71fb4d40f39d,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
175,OI-010: Private rule-pack encryption default requires human/security decision. Related: PRD section 25 Open Question 7.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L557|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,59a3125f81ac,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
176,"OI-011: Canonical persistence/hash basis selected by SCA-001; MVP physical storage profile selected by SCA-003 (local SQLite store/index with rebuildable sidecars); migration implementation details remain TBD. Related: SOW-050, SOW-059.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L558|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,0e8947bd4609,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
177,"OI-012: Physical model schema boundaries, operation granularity, and physical-to-analytical transformation loss classes require technical architecture detail before implementation briefs are sealed. Related: SOW-065, SOW-066, SOW-069.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L559|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,c33f3045f834,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
178,"OI-013: Design knowledge and constraint taxonomy must avoid importing owner standards, protected code criteria, or proprietary project data into public examples. Related: SOW-067, SOW-068.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L560|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,9115863d7a7d,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
179,OI-014: Comparison tolerance defaults and mapping workflows are TBD pending solver/result schema prototypes. Related: SOW-073.,@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L561|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,f5e0d0bb5e11,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
180,"OI-015: Handoff target list starts with CAEPIPE MBF as first validation target plus native JSON, stress-neutral CSV/JSON, conservative PCF, GLB/glTF, and adapter SDK; concrete mappings and unsupported-behavior taxonomy remain gated by DEL-17-01/DEL-17-02. Related: SOW-074, SOW-075.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L562|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,e17d7bfff147,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
181,"OI-017: CAEPIPE developer-team clarifications, supported version assumptions, MBF field coverage, batch/harness expectations, CSV result semantics, PCF translator caveats, and redistribution-safe source evidence must be gathered before target-specific implementation claims mature. Related: SOW-030, SOW-074, SOW-075.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L563|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,820b31dd2ac0,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
182,"OI-016: Agent operation autonomy level remains TBD; default SCA-002 scope requires user acceptance and audit trail for proposed changes. Related: SOW-069, SOW-070.",@repo/execution/_Decomposition/SOFTWARE_DECOMP.md:L564|_Decomposition/source_review_html/SRC-EGOV-DECOMPOSITION.html#SEC-EG001-0035,4f5b6fa58209,TBD,SEC-EG001-0035,UNIT-EG001-0001,,Open issue requiring human/governance ruling at gate.
