CanonicalTerm,Synonyms,Definition,SourceDocs,SourceRefs,Notes,SourceCount
artifact,,"Any tangible output produced within a deliverable folder.;A tangible output produced within a deliverable folder, including the standard document kit (Datasheet, Specification, Guidance, Procedure) and any additional outputs appropriate to the deliverable type.",SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/04_architecture.md:L76|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0008;@repo/docs/thesis/glossary.md:L8|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,Glossary source cites TYPES.md §1.3,2
path,,"A physical projection of the decomposition, not identity itself.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L82|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0009,,1
ID coupling convention,,Deliverable leading digits match package digits deterministically.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L92|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0009,,1
minimum viable fileset,,Files created by PREPARATION for a deliverable folder before substantive content.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L98|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010,,1
_STATUS.md,canonical state indicator;lifecycle history;lifecycle state file;deliverable state,The canonical human-readable lifecycle state file for each deliverable.;Canonical human-readable lifecycle state file for each deliverable under K-STATUS-1.;_STATUS.md is the canonical human-readable lifecycle state file for each deliverable.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-06-PROFESSIONAL-PRACTICE;SRC-DOCS-THESIS-APPENDIX-A-INVARIANT-CATALOG,@repo/docs/thesis/04_architecture.md:L100|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010;@repo/docs/thesis/04_architecture.md:L163|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0016;@repo/docs/thesis/04_architecture.md:L165|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0016;@repo/docs/thesis/06_professional_practice.md:L124|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-06-PROFESSIONAL-PRACTICE.html#SEC-DG018-0014;@repo/docs/thesis/appendix_a_invariant_catalog.md:L0059|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-A-INVARIANT-CATALOG.html#SEC-DG024-0004,,3
_CONTEXT.md,,"File recording identity, decomposition pointer, and scope traceability.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L101|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010,,1
_DEPENDENCIES.md,Dependencies.csv;dependencies,Dependency summary with human-declared and agent-extracted zones.;Deliverable-local _DEPENDENCIES.md and Dependencies.csv are authoritative for dependencies.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-APPENDIX-A-INVARIANT-CATALOG,@repo/docs/thesis/04_architecture.md:L102|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010;@repo/docs/thesis/appendix_a_invariant_catalog.md:L0057|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-A-INVARIANT-CATALOG.html#SEC-DG024-0004,,2
_REFERENCES.md,,Source document pointers.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L103|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010,,1
_SEMANTIC.md,semantic lens scaffold,Semantic lens scaffold placeholder or generated semantic matrix output.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L104|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0010;@repo/docs/thesis/04_architecture.md:L134|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0013,,1
dual-graph model,two graph structures,The paired ANCHOR tree and EXECUTION DAG used for traceability and production dependency questions.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L108|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0011;@repo/docs/thesis/04_architecture.md:L116|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0011,,1
stage gates,,Human-managed checkpoints representing aggregate progress targets across deliverables.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L159|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0015,,1
epistemic primitives,claim;warrant;status;gap;conflict;ruling,"Claim, warrant, status, gap, conflict, and ruling.;The six primitives are claim, warrant, status, gap, conflict, and ruling.",SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-09-DISCUSSION,@repo/docs/thesis/04_architecture.md:L171|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0017;@repo/docs/thesis/05_epistemic_architecture.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0002;@repo/docs/thesis/09_discussion.md:L80|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0013;@repo/docs/thesis/09_discussion.md:L82|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-09-DISCUSSION.html#SEC-DG021-0013,,3
agent type hierarchy,agent system,Three agent types with strictly partitioned responsibilities.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L181|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0018;@repo/docs/thesis/04_architecture.md:L185|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0019,,1
Type 0,Canonical Standards;constitutional layer,Agents defining invariant protocols and design standards without writing project state.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L187|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0019,,1
Type 1,Interactive Personas;Manager,"Human-facing orchestrators for conversational, gate-controlled workflows.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L189|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0019,,1
Type 2,Bounded Task Agents;Specialist,Brief-driven specialists operating in straight-through execution mode.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L191|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0019,,1
Agent Header Block,standardized header block,Standard block declaring agent properties.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L207|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0021;@repo/docs/thesis/04_architecture.md:L297|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0025,,1
WRITE_SCOPE,write scope,"Property declaring what filesystem area an agent may write to.;Declared write zone category for an agent.;An enumerated property in every agent header block declaring the filesystem zones the agent is permitted to write to (`repo-wide`, `deliverable-local`, `tool-root-only`, `workspace-scaffold-only`, `repo-metadata-only`, `none`).",SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-08-IMPLEMENTATION;SRC-DOCS-THESIS-GLOSSARY,@repo/docs/thesis/04_architecture.md:L214|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0021;@repo/docs/thesis/04_architecture.md:L226|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023;@repo/docs/thesis/08_implementation.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0005;@repo/docs/thesis/08_implementation.md:L51|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0005;@repo/docs/thesis/glossary.md:L76|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-GLOSSARY.html#SEC-DG030-0001,Glossary source cites TYPES.md §4.2,3
source truth,authoritative project record,Deliverable production documents protected from tool-root agent modification.;Human-accepted deliverable content structurally isolated from derived output.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS;SRC-DOCS-THESIS-10-CONCLUSION,@repo/docs/thesis/04_architecture.md:L226|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023;@repo/docs/thesis/04_architecture.md:L300|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0025;@repo/docs/thesis/07_se_design_analysis.md:L0029|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0004;@repo/docs/thesis/10_conclusion.md:L23|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-10-CONCLUSION.html#SEC-DG022-0003,,3
derived outputs,,Outputs separated from source truth by write scope architecture.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L226|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
NONE,read-only,Write scope where the agent may draft content but may not write to any location.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L230|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
REPO-METADATA-ONLY,,"Write scope for instruction files, README files, and templates, not execution truth.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L231|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
PROJECT-LEVEL,,"Write scope for decomposition documents, project metadata files, and folder scaffolding.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L232|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
DELIVERABLE-LOCAL,,Write scope limited to a single assigned production unit folder.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L233|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
TOOL-ROOT-ONLY,,Write scope limited to a specific designated tool root under EXECUTION_ROOT.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L234|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0023,,1
REPO-WIDE,,Scope appearing in the write scope tree for TOOLMAKER and SKILLMAKER.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L267|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0024,Appears despite the preceding prose listing five categories.,1
R1-R9,Workflow Design Requirements,Universal workflow design requirements for agents and new agent workflows.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L322|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0028,,1
I1-I10,Decomposition Invariants,Invariants applying to all decomposition agents and verified by AUDIT_DECOMP.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L324|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0028,,1
K-* Invariants,K-* catalog,System-wide binding constraints grouped by enforcement responsibility.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L326|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0028;@repo/docs/thesis/04_architecture.md:L346|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0029,,1
Design-time,agent instructions,Enforcement through agent instruction content before runtime invocation.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L348|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0029,,1
Runtime,ORCHESTRATOR enforcement,Enforcement by ORCHESTRATOR during active session management.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L350|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0029,,1
Future tooling,automated tooling,"Prospective tooling for SHA comparison, staleness computation, and dependency resolution validation.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L354|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0029,,1
spawning graph,,Map of which agents may initiate which other agents.;Graph defining which Type 1 agents may invoke which Type 2 agents and under what conditions.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-08-IMPLEMENTATION,@repo/docs/thesis/04_architecture.md:L366|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0031;@repo/docs/thesis/04_architecture.md:L405|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0031;@repo/docs/thesis/08_implementation.md:L93|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0008,,2
session handoff,handoff mechanism,Continuity mechanism using NEXT_INSTANCE_PROMPT.md and NEXT_INSTANCE_STATE.md.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L407|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0032;@repo/docs/thesis/04_architecture.md:L409|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0032,,1
NEXT_INSTANCE_PROMPT.md,,Stable session startup instructions updated only on protocol changes.;Stable session startup instructions modified only on protocol changes.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-08-IMPLEMENTATION,@repo/docs/thesis/04_architecture.md:L413|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0032;@repo/docs/thesis/08_implementation.md:L115|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0008,,2
NEXT_INSTANCE_STATE.md,,"Mutable handoff file containing pointers, program state, active rulings, and next actions.;Mutable state pointer updated by WORKING_ITEMS at each session handoff.",SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-08-IMPLEMENTATION,@repo/docs/thesis/04_architecture.md:L414|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0032;@repo/docs/thesis/04_architecture.md:L429|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0033;@repo/docs/thesis/08_implementation.md:L115|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0008,,2
control loop,operational control loop,"Human-triggered sequence linking ORCHESTRATOR, WORKING_ITEMS, TASK+dependency-extract, RECONCILIATION, and CHANGE.;Session-continuity mechanism enabling multi-session execution without hidden state.",SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-08-IMPLEMENTATION,@repo/docs/thesis/04_architecture.md:L420|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0033;@repo/docs/thesis/04_architecture.md:L424|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0033;@repo/docs/thesis/08_implementation.md:L115|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-08-IMPLEMENTATION.html#SEC-DG020-0008,,2
spawning mechanisms,,Four authorization mechanisms for initiating work.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L433|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034;@repo/docs/thesis/04_architecture.md:L435|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034,,1
human-gated phases,,ORCHESTRATOR mechanism requiring explicit human confirmation at each sequential phase.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L439|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034,,1
pre-authorized dispatch,,WORKING_ITEMS mechanism requiring one confirmed session objective before TASK dispatch.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L440|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034,,1
human-directed toolbelt,TOOLBELT,RECONCILIATION mechanism where the human provides the authorized agent list.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L441|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034,,1
approval-gated execution,,CHANGE mechanism requiring APPROVE or APPROVE_DESTRUCTIVE tokens per action.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L442|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0034,,1
INIT-TASK brief,INIT-TASK.md;brief format,Structured parameter table serving as the standard input contract for Type 2 agents.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L454|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0036,,1
FAILED_INPUTS,fail-fast behavior,Status returned when pre-flight validation finds an incomplete or structurally invalid brief.;Type 2 agents halt with this status when required inputs are invalid.;Invalid Type 2 inputs cause a halt and validation-failure report rather than guessed execution.,SRC-DOCS-THESIS-04-ARCHITECTURE;SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS,@repo/docs/thesis/04_architecture.md:L469|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0036;@repo/docs/thesis/05_epistemic_architecture.md:L84|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0006;@repo/docs/thesis/07_se_design_analysis.md:L0196|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019;@repo/docs/thesis/07_se_design_analysis.md:L0203|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-07-SE-DESIGN-ANALYSIS.html#SEC-DG019-0019,,3
Snapshot Output Convention,output convention,Standard folder and file layout for tool-root analysis outputs.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L471|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0037;@repo/docs/thesis/04_architecture.md:L473|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0037,,1
_LATEST.md,pointer file,Mutable pointer to the most recent snapshot under a tool root.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L484|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0037;@repo/docs/thesis/04_architecture.md:L491|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0038,,1
Immutability Rule,K-SNAP-1,"Task-agent outputs to tool roots are immutable snapshots, while pointer files may be overwritten.",SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L489|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0038;@repo/docs/thesis/04_architecture.md:L491|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0038,,1
structure-as-governance,,Architecture whose governance capabilities arise from structural constraints.,SRC-DOCS-THESIS-04-ARCHITECTURE,@repo/docs/thesis/04_architecture.md:L501|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-04-ARCHITECTURE.html#SEC-DG016-0039,,1
deliverable production lifecycle,deliverable lifecycle,OPEN -> INITIALIZED -> SEMANTIC_READY -> IN_PROGRESS -> CHECKING -> ISSUED.,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L7|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0002;@repo/docs/thesis/05_epistemic_architecture.md:L147|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0010,,1
intrinsic epistemic warrant,,,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L15|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0003;@repo/docs/thesis/05_epistemic_architecture.md:L19|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0003;@repo/docs/thesis/05_epistemic_architecture.md:L217|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0018,Used to name the absence that motivates the chapter.,1
professional work product (PWP),PWP;professional work product,An output of professional services with technical information relied upon by others to make a decision or take action.,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE;SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING,@repo/docs/thesis/05_epistemic_architecture.md:L21|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0003;@repo/docs/thesis/05_epistemic_architecture.md:L209|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0017;@repo/docs/thesis/appendix_c_apega_mapping.md:L52|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING.html#SEC-DG025-0006;@repo/docs/thesis/appendix_c_apega_mapping.md:L133|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-APPENDIX-C-APEGA-MAPPING.html#SEC-DG025-0011,,2
EvidenceFile,,"The source document filename, or location TBD.",SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,Dependencies.csv v3.1 provenance column.,1
SourceRef,,"Path plus heading or section within the evidence file, or location TBD.",SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,Dependencies.csv v3.1 provenance column.,1
EvidenceQuote,,"Short quote from source, recommended with max 30 words.",SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L35|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L39|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,Dependencies.csv v3.1 provenance column.,1
SourcePath,,,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L43|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,Appears in the R5 provenance requirement.,1
SectionRef,,,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L43|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,Appears in the R5 provenance requirement.,1
location TBD,,Explicit marker used when a source location has not been identified.,SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE,@repo/docs/thesis/05_epistemic_architecture.md:L33|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L37|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005;@repo/docs/thesis/05_epistemic_architecture.md:L38|domains/chirality/_Decomposition/source_review_html/SRC-DOCS-THESIS-05-EPISTEMIC-ARCHITECTURE.html#SEC-DG017-0005,,1
